id,name,Category,subcategory,description,website,github,license,platforms,tags,difficulty,self_hosted,year_started
audacity,Audacity,Media,audio-editing,"""Audio editor and recorder for capturing, editing, and processing sound with multi-track support, effects, and precise waveform-level control.""",https://www.audacityteam.org/,https://github.com/audacity/audacity/,GPL,linux|macos|windows,cross-platform|offline-capable|customizable|advanced-users,beginner,FALSE,2000
brave,Brave Browser,Privacy,browsers|privacy,"""Web browser focused on speed and privacy, with built-in ad and tracker blocking, optional private browsing modes, and a Chromium-based rendering engine.""",https://brave.com/,https://github.com/brave/brave-browser/,MPL,linux|macos|windows|android|ios,cross-platform|privacy-focused|no-tracking|anonymous,beginner,FALSE,2016
filezilla,FileZilla,Networking,servers|file-management,"""FTP client and server solution for transferring files over network protocols like FTP, SFTP, and FTPS, with support for remote file management and large transfers.""",https://filezilla-project.org/,https://github.com/filezilla/filezilla/,GPL,linux|macos|windows,cross-platform|multi-user|server-based,intermediate,FALSE,2001
thunderbird,Thunderbird,Privacy,email,"""Email client for managing multiple accounts with features like message filtering, encryption support, calendar integration, and extensive customization through add-ons.""",https://www.thunderbird.net/,https://github.com/mozilla/releases-comm-central/,MPL,linux|macos|windows,cloud|privacy-focused|encrypted|end-to-end-encryption|synchronization,beginner,FALSE,2003
internxt,Internxt,Privacy,file-storage|backup,"""Cloud storage service that encrypts files before upload and distributes them across a decentralized network, with syncing and file-sharing capabilities across devices.""",https://internxt.com/,https://github.com/internxt/,AGPL,web|linux|macos|windows|android|ios,cloud|encrypted|privacy-focused|file-management|cross-platform,beginner,FALSE,2020
simplescreenrecorder,SimpleScreenRecorder,Media,screen-recording,"""Screen recorder for capturing applications, games, or the full desktop, with live preview, audio capture, and performance-focused options for higher-quality recordings.""",https://www.maartenbaert.be/simplescreenrecorder/,https://github.com/MaartenBaert/ssr/,GPL,linux,cross-platform|offline-capable|lightweight|real-time,beginner,FALSE,2012
jaspersoft,Jaspersoft Community,Data,data-visualization|analytics,"""Reporting and analytics platform for building dashboards, ad hoc reports, and pixel-perfect documents, with server deployment and APIs for embedding into other applications.""",https://community.jaspersoft.com/,https://github.com/TIBCOSoftware/jasperreports/,AGPL,web,server-based|multi-user|api|customizable|advanced-users,advanced,TRUE,2005
vscode,Visual Studio Code,Development,code-editing,"""Code editor for software development with support for extensions, debugging, theming, and deep interface customization across many programming workflows.""",https://code.visualstudio.com/,https://github.com/microsoft/vscode/,MIT,linux|macos|windows,cross-platform|extensible|plugin-based|customizable|advanced-users,beginner,FALSE,2015
tuxguitar,TuxGuitar,Media,music-production|learning,"""Multi-track tablature editor and player for guitar-focused notation, with support for Guitar Pro, Power Tab, TablEdit, and MIDI files.""",https://sourceforge.net/projects/tuxguitar/,https://github.com/TuxGuitar/TuxGuitar/,LGPL,linux|macos|windows,cross-platform|offline-capable|lightweight,intermediate,FALSE,2008
jitsi,Jitsi,Networking,network-communication|collaboration,"""Video conferencing platform for browser and mobile meetings with screen sharing, chat, room controls, and encrypted audio and video communication.""",https://jitsi.org/,https://github.com/jitsi/,Apache,web|linux|macos|windows|android|ios,real-time|collaborative|multi-user|encrypted|privacy-focused|cross-platform,beginner,TRUE,2003
gcompris,GCompris,Education,interactive-learning,"""Educational activity suite for children with games and exercises covering basic math, reading, logic, keyboard skills, science, and other early-learning topics.""",https://gcompris.net/index-en.html/,https://github.com/gcompris/GCompris-qt,GPL,linux|macos|windows|android,cross-platform|offline-capable|beginner-friendly,beginner,FALSE,2000
freecad,FreeCAD,Design,3d-modeling,"""Parametric 3D modeler for designing real-world objects, with editable dimensions, multiple workbenches, and scripting support for technical design workflows.""",https://www.freecadweb.org/,https://github.com/FreeCAD/FreeCAD/,LGPL,linux|macos|windows,cross-platform|offline-capable|extensible|customizable|advanced-users,advanced,FALSE,2001
owncloud,ownCloud,Privacy,file-storage|collaboration,"""File sync, sharing, and content collaboration platform for teams that want to store data on their own infrastructure and access it across devices.""",https://www.owncloud.com/,https://github.com/owncloud/core/,AGPL,web|linux|macos|windows,self-hosted|synchronization|multi-user|server-based|privacy-focused|api,intermediate,TRUE,2010
mediawiki,MediaWiki,Productivity,knowledge-base|collaboration,"""Wiki platform for collaboratively creating, organizing, and revising structured knowledge, with a large extension ecosystem for customizing editing and site behavior.""",https://www.mediawiki.org/wiki/MediaWiki/,https://github.com/wikimedia/mediawiki/,GPL,web,self-hosted|collaborative|extensible,intermediate,TRUE,2003
bleachbit,BleachBit,Utilities,system-tools,"""System cleaning utility for removing cache, cookies, logs, and temporary files, with options to free disk space and permanently shred sensitive data.""",https://www.bleachbit.org/,https://github.com/bleachbit/bleachbit/,GPL,linux|windows,lightweight|offline-capable|privacy-focused,beginner,FALSE,2008
codemirror,CodeMirror,Development,code-editing,"""Browser-based code editor component that provides syntax highlighting, keybindings, and extensible modules for building custom editing experiences in web applications.""",https://codemirror.net/,https://github.com/codemirror/dev/,MIT,web,web|extensible|customizable|collaborative|api,advanced,FALSE,2007
gnu-health,GNU Health,Productivity,databases|analytics,"""Health and hospital information system for managing electronic medical records, patient data, and clinical workflows across healthcare organizations.""",https://www.gnuhealth.org/,https://github.com/msuarez/gnuhealth/,GPL,web|linux|macos,self-hosted|server-based|multi-user|api,advanced,TRUE,2008
ocs-inventory-ng,OCS Inventory NG,Utilities,network-communication|analytics,"""IT asset management system for tracking hardware, software, and network devices across an organization, with automated inventory collection and reporting.""",https://ocsinventory-ng.org/,https://github.com/ocsinventory-ng/,GPL,web|linux|macos|windows|android,self-hosted|server-based|multi-user|api|plugin-based|cross-platform,advanced,TRUE,2001
glpi,GLPI,Utilities,network-communication|task-management,"""IT service management platform for handling asset tracking, helpdesk tickets, and operational workflows within organizations.""",https://www.glpi-project.org/en/,https://github.com/glpi-project/glpi/,GPL,web,self-hosted|server-based|multi-user|plugin-based|customizable,advanced,TRUE,2003
ampache,Ampache,Media,streaming|media-players,"""Web-based audio streaming server for managing and playing music collections, with user accounts, playlists, and remote access from multiple devices.""",https://ampache.org/,https://github.com/ampache/ampache/,AGPL,web,self-hosted|server-based|library-management|synchronization|multi-user,intermediate,TRUE,2001
unicenta-opos,uniCenta oPOS,Productivity,analytics|databases,"""Point-of-sale system for retail and hospitality environments, supporting inventory management, sales tracking, and customizable workflows.""",https://unicenta.com/,https://github.com/herbiehp/unicenta/,GPL,linux|macos|windows,api|customizable|advanced-users|multi-user,advanced,TRUE,2010
openshot,OpenShot,Media,video-editing,"""Video editor with timeline-based editing, transitions, effects, and support for a wide range of formats for creating and exporting video projects.""",https://www.openshot.org/,https://github.com/OpenShot/openshot-qt/,GPL,linux|macos|windows,cross-platform|offline-capable|beginner-friendly|customizable,beginner,FALSE,2008
lan-messenger,LAN Messenger,Networking,messaging|network-communication,"""Local network messaging application for sending instant messages and files between users on the same LAN without requiring an internet connection.""t",https://lanmsngr.sourceforge.net/index.php/,https://github.com/lanmessenger/lanmessenger,GPL,linux|macos|windows,cross-platform|offline-capable|real-time|encrypted|multi-user,beginner,FALSE,2007
cherrytree,CherryTree,Productivity,note-taking|knowledge-base,"""Hierarchical note-taking application that organizes rich text, code snippets, and structured content in a tree-based format for managing knowledge.""",https://www.giuspen.net/cherrytree/,https://github.com/giuspen/cherrytree/,GPL,linux|windows,cross-platform|offline-capable|knowledge-management|organization,beginner,FALSE,2009
flightgear,FlightGear,Education,learning,"""Flight simulation software that models real-world aircraft systems, environments, and physics for training, experimentation, and virtual flying.""",https://www.flightgear.org/,https://github.com/FlightGear/flightgear/,GPL,linux|macos|windows,cross-platform|offline-capable|customizable|advanced-users,advanced,FALSE,1997
musescore,MuseScore,Media,music-production|learning,"""Music notation software for composing, editing, and playing sheet music with support for multiple instruments and export formats.""",https://musescore.org/en,https://github.com/musescore/MuseScore/,GPL,linux|macos|windows,cross-platform|offline-capable|beginner-friendly|advanced-users,beginner,FALSE,2002
tmux,tmux,Utilities,terminal|system-tools,"""Terminal multiplexer that lets users manage multiple shell sessions within a single window, supporting pane splitting, session persistence, and keyboard-driven workflows.""",https://github.com/tmux/tmux/wiki,https://github.com/tmux/tmux/,ISC,linux|macos,cli|lightweight|extensible|customizable|advanced-users,intermediate,FALSE,2007
qbittorrent,qBittorrent,Networking,network-communication,"""BitTorrent client for downloading and managing torrents with features like search integration, bandwidth control, and remote web interface support.""",https://www.qbittorrent.org/,https://github.com/qbittorrent/qBittorrent/,GPL,linux|macos|windows,cross-platform|offline-capable|privacy-focused|customizable,beginner,FALSE,2006
nextcloud,Nextcloud,Privacy,file-storage|collaboration|backup,"""Self-hosted collaboration platform for file storage, syncing, sharing, and team workflows, with apps for documents, communication, and extensible integrations.""",https://nextcloud.com/,https://github.com/nextcloud/server/,AGPL,web|linux|macos|windows|android|ios,self-hosted|synchronization|multi-user|server-based|privacy-focused|api|extensible|plugin-based|customizable,intermediate,TRUE,2016
celestia,Celestia,Education,interactive-learning,"""Real-time space simulation that allows users to explore the universe in 3D, navigating planets, stars, and galaxies with customizable views and educational overlays.""",https://celestiaproject.space/,https://github.com/CelestiaProject/Celestia/,GPL,linux|macos|windows,cross-platform|offline-capable|customizable|advanced-users,beginner,FALSE,2001
freerdp,FreeRDP,Networking,remote-access,"""Remote desktop protocol client and libraries for connecting to and interacting with remote systems, supporting multiple platforms and integration into other applications.""",https://www.freerdp.com/,https://github.com/FreeRDP/FreeRDP/,Apache,linux|macos|windows|android|ios,cross-platform|cli|api|advanced-users,advanced,FALSE,2012
flyspray,Flyspray,Development,task-management|collaboration,"""Web-based bug tracking system for managing tasks, issues, and project workflows, with support for user roles and project organization.""",https://github.com/flyspray/flyspray/,https://github.com/flyspray/flyspray/,LGPL,web,self-hosted|server-based|multi-user,intermediate,TRUE,2005
gnucash,GnuCash,Productivity,analytics,"""Financial accounting software for tracking income, expenses, assets, and investments, with double-entry bookkeeping and reporting tools.""",https://www.gnucash.org/,https://github.com/Gnucash/gnucash/,GPL,linux|macos|windows,cross-platform|offline-capable|advanced-users|customizable,intermediate,FALSE,1998
logicaldoc,LogicalDOC,Productivity,document-editing|knowledge-base,"""Document management system for organizing, storing, and retrieving files with version control, metadata, and access control features.""",https://www.logicaldoc.us/,https://github.com/logicaldoc/community/,LGPL,web,self-hosted|server-based|multi-user|api|customizable,intermediate,TRUE,2008
dvdstyler,DVDStyler,Media,video-editing,"""DVD authoring tool for creating video DVDs with interactive menus, chapters, and customizable layouts from video files.""",https://www.dvdstyler.org/en/,https://sourceforge.net/p/dvdstyler/DVDStyler/ci/master/tree/,GPL,linux|macos|windows,cross-platform|offline-capable|customizable,intermediate,FALSE,2003
osquery,osquery,Security,auditing|system-tools,"""Operating system instrumentation framework that exposes system data as SQL tables, enabling querying of processes, users, and configurations for monitoring and security analysis.""",https://osquery.io/,https://github.com/osquery/osquery/,Apache OR GPL,linux|macos|windows,cross-platform|cli|api|advanced-users,advanced,FALSE,2014
keepass,KeePass,Security,password-managers|encryption,"""Password manager that stores credentials in an encrypted database, allowing users to securely manage and generate passwords locally.""",https://keepass.info/, ,GPL,linux|macos|windows,cross-platform|encrypted|privacy-focused|offline-capable|local-first,intermediate,FALSE,2003
pdf-mix-tool,PDF Mix Tool,Utilities,file-management|document-editing,"""Utility for merging, splitting, rotating, and rearranging PDF pages through a simple interface for basic document manipulation tasks.""",https://scarpetta.eu/pdfmixtool/,https://gitlab.com/scarpetta/pdfmixtool/,GPL,linux,lightweight|offline-capable,beginner,FALSE,2018
mailspring,Mailspring,Privacy,email,"""Email client with a modern interface for managing multiple accounts, featuring threaded conversations, search, and extensible integrations.""",https://www.getmailspring.com/,https://github.com/Foundry376/Mailspring/,GPL,linux|macos|windows,cross-platform|offline-capable|customizable|advanced-users,beginner,FALSE,2017
opentodolist,OpenToDoList,Productivity,task-management,"""Task management app for organizing to-do lists and notes locally, with a focus on simplicity and offline-first workflows.""",https://opentodolist.rpdev.net/,https://github.com/mhoeher/opentodolist/,Apache,linux|macos|windows|android|ios,cross-platform|offline-capable|local-first|organization,beginner,FALSE,2013
onlyoffice,ONLYOFFICE,Productivity,document-editing|spreadsheet-editing|presentation-editing|collaboration,"""Office suite for editing documents, spreadsheets, and presentations with real-time collaboration, self-hosted deployment options, and integration APIs.""",https://www.onlyoffice.com/,https://github.com/ONLYOFFICE/DesktopEditors/,AGPL,linux|macos|windows|android|ios,self-hosted|cloud|multi-user|collaborative|real-time|cross-platform|api|plugin-based|customizable,beginner,FALSE,2009
cmu-sphinx,CMU Sphinx,AI,ai-automation|local-ai,"""Speech recognition toolkit for building systems that convert spoken language into text, with support for acoustic modeling and customization.""",https://cmusphinx.github.io/,https://github.com/cmusphinx, BSD,web|linux|macos|windows|android|ios,cross-platform|cli|api|advanced-users,advanced,FALSE,2000
emacspeak,Emacspeak,Utilities,system-tools|ai-automation,"""Audio desktop extension for Emacs that provides spoken feedback and navigation, enabling users to interact with the editor through speech output.""",https://emacspeak.sourceforge.net/, ,GPL,linux|windows,cli|extensible|customizable|advanced-users,advanced,FALSE,1995
espeak-ng,eSpeak NG,Utilities,system-tools|ai-automation,"""Speech synthesis engine that converts text into spoken audio, supporting multiple languages and lightweight deployment across systems.""",https://github.com/espeak-ng/espeak-ng/,https://github.com/espeak-ng/espeak-ng/,GPL,linux|macos|windows|android,cross-platform|cli|lightweight|text-to-speech,intermediate,FALSE,2016
festival,Festival Speech Synthesis System,Utilities,system-tools|ai-automation,"""Text-to-speech framework for generating spoken output from text, with tools for building custom voices and speech systems.""",https://www.cstr.ed.ac.uk/projects/festival/,https://github.com/festvox/festival/,X11,linux|macos|windows,cross-platform|cli|text-to-speech|api,advanced,FALSE,1999
marf,Modular Audio Recognition Framework,AI,model-management|ai-automation|local-ai,"""Machine learning framework for building and evaluating pattern recognition models, with modular components for experimentation and research.""",https://marf.sourceforge.net/,https://github.com/activityworkshop/MARF/,BSD,linux|macos|windows,cross-platform|cli|api|advanced-users,advanced,FALSE,2002
nvda,NVDA,Utilities,system-tools,"""Screen reader for Windows that provides spoken feedback and keyboard navigation, enabling visually impaired users to interact with software and web content.""",https://www.nvaccess.org/about-nvda/,https://github.com/nvaccess/nvda/,GPL,windows,offline-capable|beginner-friendly,beginner,FALSE,2006
text2speech,Text2Speech,Utilities,system-tools,"""Text-to-speech service for converting written text into audio, supporting integration through APIs for applications and workflows.""",https://sourceforge.net/projects/text2speech/, ,GPL,windows,text-to-speech|api|cross-platform,beginner,FALSE,2013
dasher,Dasher,Utilities,system-tools|ai-automation,"""Text input system that enables writing without a keyboard by navigating a continuous zooming interface, designed for accessible and hands-free text entry.""",https://dasher.at/downloads/,https://github.com/dasher-project/dasher/,GPL,linux|windows,cross-platform|offline-capable|advanced-users,intermediate,FALSE,1997
virtual-magnifying-glass,Virtual Magnifying Glass,Utilities,system-tools,"""Screen magnification tool that enlarges portions of the display in real time, helping users read and interact with small on-screen content.""",https://magnifier.sourceforge.net/, ,GPL,linux|macos|windows,lightweight|offline-capable,beginner,FALSE,2005
bali-phy,BAli-Phy,Data,data-processing,"""Phylogenetic inference software that simultaneously estimates sequence alignments and evolutionary trees using probabilistic models.""",https://www.bali-phy.org/,https://github.com/bredelings/BAli-Phy/,GPL,linux|macos|windows,cli|cross-platform|advanced-users,advanced,FALSE,2006
blast,BLAST,Data,data-processing,"""Sequence comparison tool for finding regions of similarity between DNA or protein sequences, widely used for searching biological databases.""",https://blast.ncbi.nlm.nih.gov/Blast.cgi/,https://github.com/ncbi/ncbi-cxx-toolkit-public/,Public Domain,web|linux|macos|windows,cli|cross-platform|advanced-users|api,advanced,FALSE,1990
bowtie,Bowtie,Data,data-processing,"""Ultrafast sequence aligner for mapping short DNA reads to large genomes, optimized for speed and memory efficiency.""",http://bowtie-bio.sourceforge.net/index.shtml,https://github.com/BenLangmead/bowtie/,Artistic-2.0,linux|macos|windows,cli|cross-platform|advanced-users,advanced,FALSE,2009
clustal-omega,Clustal Omega,Data,data-processing,"""Multiple sequence alignment tool for comparing large sets of DNA or protein sequences and generating phylogenetic insights.""",http://www.clustal.org/,https://github.com/GSLBiotech/clustal-omega/,GPL,linux|macos|windows,cli|cross-platform|advanced-users,advanced,FALSE,2011
decipher,DECIPHER,Data,data-processing,"""Bioinformatics toolkit for analyzing and classifying biological sequences, including alignment, clustering, and taxonomic identification.""",https://decipher.codes/,https://github.com/erikwright/DECIPHER/,GPL,linux|macos|windows,cli|cross-platform|advanced-users,advanced,FALSE,2014
fasta,FASTA,Data,data-processing,"""Sequence alignment program for comparing nucleotide or protein sequences to identify similarities and evolutionary relationships.""",http://fasta.bioch.virginia.edu/,https://github.com/wrpearson/fasta36/,Apache,linux|macos|windows,cli|cross-platform|advanced-users,advanced,FALSE,1985
fsa,Fast Statistical Alignment,Data,data-processing,"""Multiple sequence alignment tool that uses statistical models to align biological sequences with a focus on accuracy for complex datasets.""",https://fsa.sourceforge.net/, ,GPL,linux|macos,cli|cross-platform|advanced-users,advanced,FALSE,2009
hmmer,HMMER,Data,data-processing,"""Sequence analysis suite that uses profile hidden Markov models to search and align biological sequences with high sensitivity.""",https://hmmer.org/, ,BSD,linux|macos|windows,cli|cross-platform|advanced-users,advanced,FALSE,1998
hh-suite,HH-suite,Data,data-processing,"""Sequence analysis toolkit for detecting remote homology between proteins using profile hidden Markov models, enabling sensitive database searches and alignments.""",https://github.com/soedinglab/hh-suite/,https://github.com/soedinglab/hh-suite/,GPL,linux,cli|cross-platform|advanced-users,advanced,FALSE,2005
jaligner,JAligner,Data,data-processing,"""Java-based library for performing pairwise sequence alignments using dynamic programming algorithms for biological sequence comparison.""",http://jaligner.sourceforge.net/, ,GPL,linux|macos|windows,cross-platform|advanced-users|api,advanced,FALSE,2014
mafft,MAFFT,Data,data-processing,"""Multiple sequence alignment program for DNA and protein sequences, designed to handle large datasets with high speed and accuracy.""",https://mafft.cbrc.jp/alignment/software/, ,BSD,linux|macos,cli|cross-platform|advanced-users,advanced,FALSE,2002
muscle,MUSCLE,Data,data-processing,"""Sequence alignment tool for generating accurate multiple alignments of nucleotide or protein sequences with a focus on speed and scalability.""",https://drive5.com/muscle/, ,GPL,linux|macos|windows,cli|cross-platform|advanced-users,advanced,FALSE,2004
nextflow,Nextflow,Development,devops,"""Workflow orchestration framework for building and running scalable data pipelines, particularly in bioinformatics, with support for parallel execution and reproducibility.""",https://www.nextflow.io/,https://github.com/nextflow-io/nextflow/,Apache,linux|macos|windows|web,cli|automation|cross-platform|advanced-users|api,advanced,FALSE,2013
phyloscan,Phyloscan,Data,data-processing,"""Phylogenetic analysis pipeline for identifying and analyzing genetic relationships within sequence datasets, often used for pathogen and evolutionary studies.""", ,https://github.com/bpt26/phyloScan/,GPL,linux,cli|cross-platform|advanced-users,advanced,FALSE,2005
probalign,Probalign,Data,data-processing,"""Sequence alignment tool that uses probabilistic models to improve alignment accuracy, particularly for distantly related biological sequences.""",https://web.njit.edu/~usman/probalign/, ,GPL,linux,cli|cross-platform|advanced-users,advanced,FALSE,2006
probcons,ProbCons,Data,data-processing,"""Multiple sequence alignment program that applies probabilistic consistency-based methods to produce highly accurate alignments.""",http://probcons.stanford.edu/, ,GPL,linux|macos|windows,cli|cross-platform|advanced-users,advanced,FALSE,2005
stemloc,Stemloc,Data,data-processing,"""RNA alignment and folding tool that models both sequence and structural information to improve alignment accuracy for structured RNA molecules.""",http://biowiki.org/StemLoc, ,GPL,linux,cli|cross-platform|advanced-users,advanced,FALSE,2004
t-coffee,T-Coffee,Data,data-processing,"""Multiple sequence alignment suite that combines results from different alignment methods to produce consistent and high-quality alignments.""",https://tcoffee.crg.eu/, ,GPL,web|linux|macos|windows,cli|cross-platform|advanced-users,advanced,FALSE,2000
ugene,UGENE,Data,data-processing,"""Bioinformatics toolkit for analyzing DNA and protein sequences, with integrated tools for alignment, visualization, and workflow management in a unified interface.""",https://ugene.net/,https://github.com/ugeneunipro/ugene/,GPL,linux|macos|windows,cross-platform|advanced-users|customizable|api,advanced,FALSE,2008
yass,YASS,Data,data-processing,"""Sequence similarity search tool for detecting local alignments in DNA sequences, optimized for identifying repeats and regions of similarity.""",https://bioinfo.lifl.fr/yass/, ,GPL,linux,cli|cross-platform|advanced-users,advanced,FALSE,2005
librecad,LibreCAD,Design,vector-graphics,"""2D computer-aided design application for creating technical drawings, schematics, and plans using precise drafting tools.""",https://librecad.org/, ,LGPL,linux|macos|windows,cross-platform|offline-capable|lightweight|beginner-friendly,intermediate,FALSE,2010
solvespace,SolveSpace,Design,3d-modeling,"""Parametric 2D and 3D CAD program for designing mechanical parts and assemblies using constraints and dimensional relationships.""",https://solvespace.com/, ,GPL,linux|macos|windows,cross-platform|offline-capable|lightweight|advanced-users,advanced,FALSE,2008
brl-cad,BRL-CAD,Design,3d-modeling,"""Solid modeling system with tools for geometric analysis, ray tracing, and engineering design, used for complex 3D modeling tasks.""",https://brlcad.org/, ,LGPL,linux|macos|windows,cross-platform|cli|advanced-users|extensible,advanced,FALSE,1984
openscad,OpenSCAD,Design,3d-modeling,"""Script-based 3D modeling tool for creating parametric designs using code, suited for precise and reproducible geometric modeling.""",https://openscad.org/,https://github.com/openscad/openscad/,GPL,linux|macos|windows,cross-platform|cli|customizable|advanced-users,advanced,FALSE,2011
occt,Open Cascade Technology (OCCT),Development,api-tools,"""Software development framework for building 3D CAD, CAM, and CAE applications, providing libraries for modeling, visualization, and data exchange.""",https://www.opencascade.com/open-cascade-technology/,https://github.com/Open-Cascade-SAS/OCCT/,LGPL,linux|macos|windows,cross-platform|api|extensible|advanced-users,advanced,FALSE,1999
wings3d,Wings 3D,Design,3d-modeling,"""Subdivision modeling tool for creating and editing 3D polygonal meshes with a focus on ease of use and interactive modeling workflows.""",https://www.wings3d.com/, ,BSD,linux|macos|windows,cross-platform|offline-capable|customizable|advanced-users,intermediate,FALSE,2001
art-of-illusion,Art of Illusion,Design,3d-modeling,"""3D modeling and rendering application for creating scenes, animations, and visual effects with a plugin system for extending functionality.""",http://www.artofillusion.org/, ,GPL,linux|macos|windows,cross-platform|offline-capable|customizable|plugin-based,intermediate,FALSE,1999
meshlab,MeshLab,Design,3d-modeling|data-processing,"""Tool for processing and editing 3D meshes, including cleaning, repairing, converting, and analyzing scanned or generated models.""",https://www.meshlab.net/,https://github.com/cnr-isti-vclab/meshlab/,GPL,linux|macos|windows,cross-platform|offline-capable|advanced-users|customizable,advanced,FALSE,2005
makehuman,MakeHuman,Design,3d-modeling,"""3D modeling tool for creating realistic human characters with adjustable anatomy, proportions, and export options for use in animation and game development workflows.""",https://www.makehumancommunity.org/,https://github.com/makehumancommunity/makehuman/,GPL,linux|macos|windows,cross-platform|offline-capable|customizable|advanced-users,intermediate,FALSE,2000
sweet-home-3d,Sweet Home 3D,Design,3d-modeling,"""Interior design application for creating floor plans and arranging furniture in 2D, with a synchronized 3D preview for visualizing layouts.""",https://www.sweethome3d.com/, ,GPL,linux|macos|windows,cross-platform|offline-capable|beginner-friendly|customizable,beginner,FALSE,2006
gmsh,Gmsh,Design,3d-modeling|data-processing,"""3D finite element mesh generator with built-in CAD tools, scripting, and post-processing features for scientific and engineering simulations.""",https://gmsh.info/,https://gitlab.onelab.info/gmsh/gmsh/,GPL,linux|macos|windows,cross-platform|cli|api|advanced-users,advanced,FALSE,1998
electric,Electric,Design,vector-graphics,"""Electronic design automation system for creating circuit layouts, schematics, and integrated circuit designs with support for hierarchical design workflows.""",https://www.staticfreesoft.com/, ,GPL,linux|macos|windows,cross-platform|advanced-users|customizable,advanced,FALSE,1982
joplin,Joplin,Productivity,note-taking|knowledge-base,"""Note-taking and knowledge management app that stores notes locally with optional synchronization, supporting markdown, attachments, and structured organization.""",https://joplinapp.org/,https://github.com/laurent22/joplin/,AGPL,linux|macos|windows|android|ios,cross-platform|offline-capable|synchronization|local-first|knowledge-management|customizable,beginner,FALSE,2017
inkscape,Inkscape,Design,vector-graphics|illustration,"""Vector graphics editor for creating illustrations, diagrams, and designs using scalable paths, shapes, and advanced drawing tools.""",https://inkscape.org/,https://gitlab.com/inkscape/inkscape/,GPL,linux|macos|windows,cross-platform|offline-capable|customizable|advanced-users,intermediate,FALSE,2003
krita,Krita,Design,image-editing|illustration,"""Digital painting and illustration software designed for artists, featuring brush engines, layers, and tools for concept art, comics, and texture creation.""",https://krita.org/,https://github.com/KDE/krita/,GPL,linux|macos|windows,cross-platform|offline-capable|customizable|advanced-users,intermediate,FALSE,2005
